filename,class
synth_0.png,2
synth_1.png,1
synth_2.png,1
synth_3.png,1
synth_4.png,1
synth_5.png,1
synth_6.png,1
synth_7.png,1
synth_8.png,1
synth_9.png,1
synth_10.png,1
synth_11.png,1
synth_12.png,1
synth_13.png,1
synth_14.png,1
synth_15.png,1
synth_16.png,1
synth_17.png,1
synth_18.png,1
synth_19.png,1
synth_20.png,1
synth_21.png,1
synth_22.png,1
synth_23.png,1
synth_24.png,1
synth_25.png,1
synth_26.png,1
synth_27.png,1
synth_28.png,1
synth_29.png,2
synth_30.png,1
synth_31.png,1
synth_32.png,1
synth_33.png,1
synth_34.png,1
synth_35.png,1
synth_36.png,1
synth_37.png,1
synth_38.png,1
synth_39.png,1
synth_40.png,1
synth_41.png,1
synth_42.png,1
synth_43.png,1
synth_44.png,1
synth_45.png,1
synth_46.png,1
synth_47.png,1
synth_48.png,1
synth_49.png,1
synth_50.png,1
synth_51.png,1
synth_52.png,1
synth_53.png,1
synth_54.png,1
synth_55.png,1
synth_56.png,1
synth_57.png,1
synth_58.png,1
synth_59.png,1
synth_60.png,1
synth_61.png,1
synth_62.png,1
synth_63.png,1
synth_64.png,1
synth_65.png,1
synth_66.png,1
synth_67.png,1
synth_68.png,1
synth_69.png,1
synth_70.png,1
synth_71.png,1
synth_72.png,1
synth_73.png,1
synth_74.png,1
synth_75.png,1
synth_76.png,1
synth_77.png,2
synth_78.png,1
synth_79.png,1
synth_80.png,1
synth_81.png,2
synth_82.png,1
synth_83.png,1
synth_84.png,1
synth_85.png,1
synth_86.png,1
synth_87.png,1
synth_88.png,1
synth_89.png,1
synth_90.png,1
synth_91.png,2
synth_92.png,1
synth_93.png,1
synth_94.png,1
synth_95.png,1
synth_96.png,1
synth_97.png,1
synth_98.png,1
synth_99.png,1
synth_100.png,1
synth_101.png,1
synth_102.png,1
synth_103.png,1
synth_104.png,1
synth_105.png,1
synth_106.png,1
synth_107.png,1
synth_108.png,1
synth_109.png,1
synth_110.png,1
synth_111.png,1
synth_112.png,1
synth_113.png,1
synth_114.png,1
synth_115.png,1
synth_116.png,1
synth_117.png,1
synth_118.png,1
synth_119.png,1
synth_120.png,1
synth_121.png,1
synth_122.png,1
synth_123.png,1
synth_124.png,2
synth_125.png,1
synth_126.png,1
synth_127.png,1
synth_128.png,1
synth_129.png,1
synth_130.png,1
synth_131.png,1
synth_132.png,1
synth_133.png,1
synth_134.png,1
synth_135.png,1
synth_136.png,2
synth_137.png,1
synth_138.png,1
synth_139.png,1
synth_140.png,1
synth_141.png,1
synth_142.png,1
synth_143.png,1
synth_144.png,1
synth_145.png,1
synth_146.png,1
synth_147.png,1
synth_148.png,1
synth_149.png,1
synth_150.png,2
synth_151.png,1
synth_152.png,1
